slot,property,value,sample_type_count,sample_types,primary_or_modification
construct_component,enum,None|3'UTR|5'UTR|Enhancer|Epitope Tag|Exon|Flanking Element|Gene|Intron|Leader Sequence|Promotor|Recognition Sequence|Signal Sequence|Spacer|Targeting Sequence|Terminator|Transit Peptide|Vector Sequence,1,engineered-strain,primary
construct_component,title,construct component,1,engineered-strain,primary
construct_component,type,string,1,engineered-strain,primary
crop_rotation,description,Whether or not crop is rotated and if yes rotation schedule,3,"other-undescribed, soil, monet-soil",primary
crop_rotation,title,crop rotation,3,"other-undescribed, soil, monet-soil",primary
crop_rotation,type,string,3,"other-undescribed, soil, monet-soil",primary
cult_root_med,description,Name or reference for the hydroponic or in vitro culture rooting medium; can be the name of a commonly used medium or reference to a specific medium e.g. Murashige and Skoog medium. If the medium has not been formally published use the rooting medium descriptors.,2,"field-deployed-terraform, terraform",primary
cult_root_med,title,culture rooting medium,2,"field-deployed-terraform, terraform",primary
cult_root_med,type,string,2,"field-deployed-terraform, terraform",primary
cur_land_use,description,Present state of sample site,1,other-undescribed,modification
cur_land_use,description,Present state of sample site. This slot is NOT multivalued. Valid entries: badlands cities conifers crop trees farmstead gravel hardwoods hayland horticultural plants industrial areas intermixed marshlands meadows mines quarries mudflats oil waste pastureland permanent snow or ice rainforest rangeland roads railroads rock row crops saline seeps salt flats sand shrub crops shrub land small grains successional shrub land swamp tropical tundra vegetable crops vine crops,3,"field-deployed-terraform, soil, monet-soil",primary
cur_land_use,enum,badlands|cities|conifers|crop trees|farmstead|gravel|hardwoods|hayland|horticultural plants|industrial areas|intermixed|marshlands|meadows|mines quarries|mudflats|oil waste|pastureland|permanent snow or ice|rainforest|rangeland|roads railroads|rock|row crops|saline seeps|salt flats|sand|shrub crops|shrub land|small grains|successional shrub land|swamp|tropical|tundra|vegetable crops|vine crops,3,"field-deployed-terraform, soil, monet-soil",primary
cur_land_use,title,current land use,4,"field-deployed-terraform, other-undescribed, soil, monet-soil",primary
cur_land_use,type,string,4,"field-deployed-terraform, other-undescribed, soil, monet-soil",primary
cur_vegetation,description,Vegetation classification from one or more standard classification systems or agricultural crop,4,"field-deployed-terraform, other-undescribed, soil, monet-soil",primary
cur_vegetation,title,current vegetation,4,"field-deployed-terraform, other-undescribed, soil, monet-soil",primary
cur_vegetation,type,string,4,"field-deployed-terraform, other-undescribed, soil, monet-soil",primary
cur_vegetation_meth,description,Reference or method used in vegetation classification,4,"field-deployed-terraform, other-undescribed, soil, monet-soil",primary
cur_vegetation_meth,title,current vegetation method,4,"field-deployed-terraform, other-undescribed, soil, monet-soil",primary
cur_vegetation_meth,type,string,4,"field-deployed-terraform, other-undescribed, soil, monet-soil",primary
density,description,Density of the sample which is its mass per unit volume (aka volumetric mass density),1,other-undescribed,modification
density,description,Density of the sample which is its mass per unit volume (aka volumetric mass density) (Unit: g/m3 or g/cm3),2,"water, sediment",primary
density,pattern,^\d+(\.\d+)?\s*(g/m3|g/cm3)$,2,"water, sediment",primary
density,title,density,3,"other-undescribed, water, sediment",primary
density,type,string,3,"other-undescribed, water, sediment",primary
depth,description,The vertical distance below local surface of the water. (Units: m),1,water,modification
depth,description,The vertical distance below local surface. For sediment or soil samples depth is measured from sediment or soil surface respectively. Depth can be reported as an interval for subsurface samples. (Units: m),1,other-undescribed,modification
depth,description,The vertical distance below local surface. For sediment or soil samples depth is measured from sediment or soil surface respectively. Depth is required to be reported as an interval for subsurface samples. (Units: cm or m),1,monet-soil,modification
depth,description,The vertical distance below local surface. For sediment or soil samples depth is measured from sediment or soil surface respectively. Depth is required to be reported as an interval for subsurface samples. (Units: m),3,"field-deployed-terraform, soil, sediment",primary
depth,pattern,^\d+(\.\d+)?(-\d+(\.\d+)?)?\s*m$,2,"other-undescribed, water",modification
depth,pattern,^\d+(\.\d+)?-\d+(\.\d+)?\s*(m|cm)$,1,monet-soil,modification
depth,pattern,^\d+(\.\d+)?-\d+(\.\d+)?\s*m$,3,"field-deployed-terraform, soil, sediment",primary
depth,title,depth,6,"field-deployed-terraform, other-undescribed, soil, water, sediment, monet-soil",primary
depth,type,string,6,"field-deployed-terraform, other-undescribed, soil, water, sediment, monet-soil",primary
diether_lipids,description,Concentration of diether lipids; can include multiple types of diether lipids,1,other-undescribed,modification
diether_lipids,description,Concentration of diether lipids; can include multiple types of diether lipids (Unit: ng/L),2,"water, sediment",primary
diether_lipids,pattern,^\d+(\.\d+)?\s*ng/L$,2,"water, sediment",primary
diether_lipids,title,diether lipids,2,"other-undescribed, water",primary
diether_lipids,title,diether lipids concentration,1,sediment,modification
diether_lipids,type,string,3,"other-undescribed, water, sediment",primary
diss_carb_dioxide,description,Concentration of dissolved carbon dioxide in the sample or liquid portion of the sample,1,other-undescribed,modification
diss_carb_dioxide,description,Concentration of dissolved carbon dioxide in the sample or liquid portion of the sample (Unit: umol/L or mg/L),2,"water, sediment",primary
diss_carb_dioxide,pattern,^\d+(\.\d+)?\s*(umol|mg)/L$,2,"water, sediment",primary
diss_carb_dioxide,title,dissolved carbon dioxide,2,"other-undescribed, water",primary
diss_carb_dioxide,title,dissolved carbon dioxide concentration,1,sediment,modification
diss_carb_dioxide,type,string,3,"other-undescribed, water, sediment",primary
diss_hydrogen,description,Concentration of dissolved hydrogen,1,other-undescribed,modification
diss_hydrogen,description,Concentration of dissolved hydrogens (Unit: umol/L),2,"water, sediment",primary
diss_hydrogen,pattern,^\d+(\.\d+)?\s*umol/L$,2,"water, sediment",primary
diss_hydrogen,title,dissolved hydrogen,2,"other-undescribed, water",primary
diss_hydrogen,title,dissolved hydrogen concentration,1,sediment,modification
diss_hydrogen,type,string,3,"other-undescribed, water, sediment",primary
diss_inorg_carb,description,Dissolved inorganic carbon concentration in the sample typically measured after filtering the sample using a 0.45 micrometer filter,1,other-undescribed,modification
diss_inorg_carb,description,Dissolved inorganic carbon concentration in the sample typically measured after filtering the sample using a 0.45 micrometer filter (Unit:  ug/L or mg/L or ppm),2,"water, sediment",primary
diss_inorg_carb,pattern,^\d+(\.\d+)?\s*(ug/L|mg/L|ppm)$,2,"water, sediment",primary
diss_inorg_carb,title,dissolved inorganic carbon,2,"other-undescribed, water",primary
diss_inorg_carb,title,dissolved inorganic carbon concentration,1,sediment,modification
diss_inorg_carb,type,string,3,"other-undescribed, water, sediment",primary
